episode_date,episode_title,youtube_url,source_file,timestamp_start,timestamp_end,speaker,speaker_confidence,speaker_attribution_reason,ticker_or_asset,company_or_asset_name,asset_type,direction,position_status,conviction_score_0_to_5,excitement_score_0_to_5,urgency_score_0_to_5,time_horizon,trade_category,catalyst_or_condition,bull_thesis,bear_thesis_or_risks,key_quotes,summary_of_chris_view,evidence_strength,contradictions_or_tensions,notes
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,6:39,7:46,Chris Camillo,High,"Chris endorses JETS for fast-trade only.",JETS,U.S. Global Jets ETF,ETF,"Long, Fast trade",considering,2,2,4,fast trade,macro trade,War end / oil prices dropping,"Highly correlated to war news; ETF liquidity removes single-airline risk like Canadian Airlines","Doesn't want to hold airlines; 'old dog airlines'","[6:55] I would do jets. … jets takes away the concentration risk of like for example that airline … Canada. // [7:35] I think Jets is a decent one as well. I mean, it's highly correlated. … Jets is not something that I'm going to hold on to for any amount of time or any of the airlines.",JETS is a fast-trade vehicle only; not a long-term hold for Chris.,explicit,,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,7:58,8:45,Chris Camillo,High,"'The third one that I like as just a purely correlated fast trade … is UAE'.",UAE,iShares MSCI UAE ETF,ETF,"Long, Fast trade",considering,3,3,5,fast trade,macro trade,War end,"Super correlated; ETF liquidity",n/a,"[7:58] The third one that I like as just a purely correlated fast trade on the end of the war is UAE, which is basically the UAE ETF. Just super super correlated.",UAE ETF rounds out his three end-of-war fast trades (with COPX and JETS).,explicit,,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,5:50,7:30,Chris Camillo,Medium,"Chris reacts to a Salik chart Dave pulled up; Chris is the one giving the bearish view on Middle East stability.",SALIK.AE,Salik Co (Dubai toll roads),Stock,Avoid / no position,does not own,1,1,1,unclear,negative / avoid,Middle East stability,Toll roads in Dubai if region stable,"Regional instability could drive expat exodus and crush toll volumes","[6:26] I'm not too excited about that. // [7:11] if the Middle East is unstable after this, then people will leave. … which would be horrible for companies like this toll road company because it'll mean there's less business.",Bearish on Salik in instability scenario; not investing.,inferred,,Speaker Confidence Medium because the conversation is a back-and-forth with Dave about the chart.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,10:11,10:30,Chris Camillo,High,"Chris's reaction to Dave bringing up SMCI - 'No, dude. That company is just wild'.",SMCI,Super Micro Computer,Stock,Avoid / no position,does not own,1,1,0,unclear,negative / avoid,Scandal news,n/a,"Scandal-driven daily moves; 7% pop is short-covering noise","[10:11] No, dude. That company is just wild. I That's going to move daytoday based on scandal news. And yeah, if it's up 7% that's just short covering at this point.",Avoiding SMCI - too noisy/scandal-driven.,explicit,,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,10:38,12:15,Chris Camillo,High,"'Everyone's ripping on me for the air sports trade, guys. … I'm still in it'.",AS,Amer Sports (Salomon / Arc'teryx),Stock,"Long, Holding",owns,3,2,1,multi-month,quick position update,"Earnings show overinvestment in inventory","Company beat earnings, choosing to invest more in inventory for anticipated demand","Market hates overinvestment in volatile macro/tariff/war environment","[10:50] the company. … This is the company destroyed earnings, okay? They're doing so well that they have they choose to invest more in inventory. // [12:00] I still have a ton of stock. … I'm not looking to sell sports after it dropped 20% 15 20%, right? Like I'm not I'm still in it.",Holding through 15-20% drawdown; thesis intact (consumer demand for Salomon/Arc'teryx).,explicit,Mar 12 'down 20-some odd percent' → Mar 23 'dropped 15-20%' (consistent),
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,12:55,13:09,Chris Camillo,High,"'TSMI, you you got to love that company. You got to love Taiwan Semi'.",TSM,Taiwan Semiconductor,Stock,Long,unclear,4,4,3,long-term,quick position update,AI chip demand,"Demand through the roof; Nvidia having to re-engineer chips around TSM allocation","Macro / China-Taiwan risk","[13:01] TSMI, you you got to love that company. You got to love Taiwan Semi right here, right? Because like the demand is through the roof. I mean, what more what better signals do you want?",Strongly endorses TSM; he doesn't say 'I own' but enthusiastic recommendation.,inferred,,Transcript misspells 'TSMI' = TSM. Position not explicitly stated.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,14:26,15:23,Chris Camillo,High,"'I just don't have a strong take on Intel'; 'I'm staying away from trading it here'.",INTC,Intel,Stock,Avoid,unclear,1,1,0,unclear,negative / avoid,n/a,n/a,Too many conflicting positive/negative forces; lack of conviction either way,"[14:55] I just don't have a strong take on Intel right at this moment because there's just too many things happening at the company. // [15:17] I'm staying I think I might have some in my portfolio, but I'm not I'm staying away from trading it here. There's just a lack of conviction either way on Intel.",May own a small position; staying away from trading; explicit no-conviction.,explicit,Apr 24 update: he says 'I think I accidentally sold my Intel' - implying it was sold to free margin for AMZN options.,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,15:23,16:50,Chris Camillo,High,"Chris's macro view on China - 'China doesn't scare me right now'.",China,China geopolitical risk,Macro,n/a,n/a,n/a,n/a,n/a,2026 timeframe,macro trade,n/a,China needs stability for manufacturers and people in 2026,Could be wrong; China watching US response to Iran,"[16:13] I think China as much as or more than anyone else right now needs stability for the remainder of this year. … I just don't think China's making any dramatic moves this year.",Not concerned about China invading Taiwan in 2026.,inferred,,Macro view rather than a specific trade.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,20:23,30:14,Chris Camillo,High,"'My entire personal reputation right now hinges on one company'; 'high conviction right now on Amazon'.",AMZN,Amazon,Stock,Leveraged long,owns,5,5,4,multi-month,core high-conviction idea,War end / oil prices stabilizing,"Reputation-staked thesis; OAI Trainium deal secures AMZN AWS demand; Anthropic also using Trainium; OAI consumer-AI integration likely guarantees AMZN retail visibility","Oil/transport headwind even after war ends ($80 oil normal vs $60 historic); job loss tail risk","[20:23] my entire personal reputation right now hinges on one company. // [21:09] I keep talking about the same company, the same trade … I have high conviction right now on Amazon. // [28:52] I am considering uh adding even more to my Amazon trade the second that I see a clear window that the war is over. // [29:51] Amazon is in like the pole position to move over the next few months and I wouldn't mind increasing my leverage even further on an Amazon.",Reputation-staked AMZN bull thesis; planning to lever further on war-end signal.,explicit,,Conviction increases vs Mar 12 ('I love Amazon today more than … a few weeks ago').
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,30:14,34:18,Chris Camillo,High,"'There's one other stock that I think comes right after that which is Robin Hood'; explicit conditional leverage plan.",HOOD,Robinhood,Stock,"Long, Conditional add (lever up)",owns,4,4,3,multi-month,conditional setup,"95% sure war is done AND crypto stabilizing AND Bitcoin recovering = triple down","Long-term AUM compounding; account size growth in stable market; crypto upside as kicker","Short-term crypto dependence; tail risk if oil-fields-bombing scenario destroys retail accounts","[33:27] Robin Hood is a company that I don't have leverage in Robin Hood right now, guys. But I would consider putting leverage on Robin Hood once we are 100% or let's just say 95% sure we are done with this whole Iran situation at least for a while and we're not entering a crypto winter. // [34:07] if Bitcoin is recovering and the war is over, Robin Hood is a place where I'm tripling down.",Owns HOOD without leverage; would lever up once war risk fades AND crypto stabilizes; 'tripling down' if Bitcoin recovers.,explicit,Apr 24 follow-up: 'I went deeper into Robin Hood at 70 … I just picked up some more calls this morning' - so the conditional add did happen by mid-April,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,44:24,45:50,Chris Camillo,High,"'My TAC bet'; 'I still have pretty massive exposure to Trans Alta through TAC'.",TAC,TransAlta Corp,Stock,"Long, Holding",owns,4,3,2,multi-month,core high-conviction idea,Hyperscaler builds in Alberta inevitable,"Inevitability of data centers moving to Alberta; Middle East data center risk increased; Canada is safer location","Trump administration pressuring hyperscalers to build in US; Alberta delays ongoing","[45:04] I'm sticking with my TAC bet. I know it's taking longer to play out. … TAC Trans Alta Corp continues to be at the crosshairs of that opportunity. So I want to have exposure to it and I still have pretty massive exposure to Trans Alta through TAC.",Massive TAC exposure; sticking with thesis despite delays.,explicit,Apr 24 update: 'I have exited part of my position because … account got destroyed last month' - position size reduced from massive,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,45:50,53:24,Chris Camillo,High,"'I'm do not have a position in Tesla right now, which is wild'.",TSLA,Tesla,Stock,Conditional long,does not own,2,2,1,until event,negative / avoid,Tesla presentation that 'stuns me','FSD/RoboTaxi/Optimus eventually; Grok competitive pressure','Timeline slippage; Optimus team feedback 'not great'; XAI flat; Tesla story driven by promises that don't materialize',"[52:39] I'm do not have a position in Tesla right now, which is wild. I would rather wait and see. I'd rather wait and get into Tesla 20 to 30% higher than have my money sitting in Tesla because I just don't see any indication right now in the next few days to few weeks to next month of anything meaningfully changing. // [53:07] But if I if they have a presentation and and it stuns me, I I I'm I won't be afraid to go into Tesla really heavy and really levered.",No TSLA position; would buy heavy/levered if a future Elon presentation 'stuns him'.,explicit,,Surprising stance from Chris (reputation as TSLA bull); explicit shift to neutral/skeptical.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,53:36,54:56,Chris Camillo,High,"'I I have a massive SKM position. I don't anticipate selling it until we get close to or beyond the Anthropic IPO. This is my way to play Anthropic'.",SKM,SK Telecom (Anthropic stake),Stock / private proxy,Long,owns,5,5,3,until event,core high-conviction idea,Anthropic IPO (target this year),"SKM holds ~$100M Anthropic stake from $5B-valuation round = ~20-25% of SKM market cap; liquid public proxy; no fees/admin/lockup","SKM core business; Anthropic IPO timing; idiosyncratic Korean market risk","[53:49] I I have a massive SKM position. I don't anticipate selling it until we get close to or beyond the Anthropic IPO. This is my way to play Anthropic. // [54:49] So, that's how I'm playing Enthropic as a SKM, and I haven't sold that position.",Massive SKM position held until Anthropic IPO; stated explicitly as 'my way to play Anthropic'.,explicit,,One of the most explicit and high-conviction position statements across all 3 episodes.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,55:03,59:32,Chris Camillo,High,"'I don't own him right now, but I would'.",HIMS,Hims & Hers Health,Stock,Watchlist,does not own,3,3,2,long-term,future deep-dive tease,Peptide commercialization scaling,"Uniquely positioned to monetize peptide tailwind 'better than anyone else in the world' as a distribution channel","'Not generally a fan' for unspecified reasons; deep reliance on GLP-1s controlled by 2 companies (LLY/NVO)","[55:13] I'm not generally a fan of HIMS for a number of reasons … HIMS is uniquely positioned to monetize that tailwind in peptides better than anyone else in the world. // [56:02] If it weren't for that, I would probably be in him … // [58:23] I don't own him right now, but I would it's something that I would as a peptide distribution channel play in the future as peptides go from the billionaire class to the uh McDonald's class.",Does not own HIMS; framing it as a future peptide distribution play.,explicit,,
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,55:48,1:08:57,Chris Camillo,High,"'super cycle that doesn't just last years, but maybe last decades'; 'This peptide trend is no longer a trend. It's officially a super cycle just like AI'.",Peptides,Peptides theme,Theme / basket,Long,thematic / future deep-dive,5,4,2,long-term,thematic trade,Peptide democratization (rich → mainstream),"Multi-decade super cycle; supplements that actually work; analogous to early GLP-1 trade","Regulatory; distribution channel uncertainty (drug companies vs supplement cos)","[55:48] I think the market for peptides is going to do nothing but get larger and larger and larger the next few years. // [59:21] capable of having a super cycle that doesn't just last years, but maybe last decades.",Peptides = multi-decade super cycle; specific trades to be revealed in future episode.,explicit,,Reaffirmed and intensified in Apr 24 episode.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:00:54,1:01:40,Chris Camillo,High,"'I might lever up in Nvidia, too'.",NVDA,Nvidia,Stock,"Long, Considering levering up",owns,4,4,3,multi-month,quick position update,"NVDA news weekend (chip re-engineering due to TSM allocation); AI sector momentum","NVDA AI demand at all-time high; broader AI sector 'like a dream'",n/a,"[1:01:25] I might lever up in Nvidia, too. Like that Nvidia news this weekend and and TMSI and like it the entire like AI sector.",Considering levering up NVDA along with AMZN and HOOD lever-up plans.,inferred,,He doesn't explicitly say 'I own NVDA' but 'might lever up' implies an existing position.
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:01:39,1:02:57,Chris Camillo,High,"Chris explicitly tags this as a future deep-dive episode.",COR/COHR,Coherent,Stock,Watchlist,unclear,3,3,2,long-term,future deep-dive tease,TBD,"Positioned in 'a really interesting place for where this AI cycle is potentially headed'",'A little controversial','[1:01:46] there's two stocks in the AI sector I think we're gonna have to do an entire episode on. Okay. Coherent and Lummentum. // [1:02:43] they're a little controversial, but I I want to go dive in deeper at some point.',Future deep-dive on COR (Coherent); position not explicitly stated.,inferred,,Chris uses 'COR' (transcript) - correct ticker is COHR. Same row applies to LITE (separate row below).
2026-03-23,End of War Trades,https://www.youtube.com/watch?v=dujz3iVi-HQ,youtube_transcript_end_of_war_trades_2026-03-23.md,1:01:39,1:02:57,Chris Camillo,High,"Same paired tease as Coherent.",LITE,Lumentum,Stock,Watchlist,unclear,3,3,2,long-term,future deep-dive tease,TBD,"Positioned in 'a really interesting place for where this AI cycle is potentially headed'; one-year chart up ~800%",'A little controversial','[1:01:50] If you look at COR and LI, those are really interesting companies. I don't want to get into them today too much.',Future deep-dive on LITE (Lumentum); position not explicitly stated.,inferred,,Chris uses 'LI' (transcript) - correct ticker is LITE.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,9:48,10:54,Chris Camillo,High,"Chris's standard equities-vs-real-estate argument throughout the segment.",Real estate,Real estate (asset class),Other,Avoid / no position,does not own,1,1,1,long-term,negative / avoid,n/a,n/a,"Illiquid, levered, time/maintenance drag, not real cash flow after expenses, hidden risk","[10:43] If if you would have taken all that money that you were putting into real estate and all that time and you would have just thrown that into aggressive equities over the past, dude, I don't care. You're always winning with equities. … Equities gets you your life back.",Avoid real estate as an asset class; equities always win.,explicit,,Asset-class view rather than a specific trade.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,15:31,17:04,Chris Camillo,High,"'I've been playing Amazon options for the last few weeks like a complete degenerate'.",AMZN,Amazon (options),Stock (options),Leveraged long,owns,5,5,4,short-term,earnings/event trade,AMZN earnings next week (May),AI super-cycle continuation,"Option decay; one wrong move loses 10-20% of liquid portfolio per $1 AMZN move","[15:48] I've been playing Amazon options for the last few weeks like a complete degenerate. // [16:09] anywhere between I would say five and 15% maybe maybe at one point it was as high as 20% of my entire liquid portfolio was in Amazon options. … if Amazon goes down $1, I lose 10 to 20% of my entire portfolio. // [16:46] you can make an argument that I'm 300% equity at at my most degenerate moments.",Heavily levered AMZN options bet (~5-20% of liquid portfolio at peak); confidence stems from Collecticon sale providing capital backstop.,explicit,Mar 23 'considering adding more' → Apr 24 'I've been playing Amazon options like a complete degenerate' (executed and rolled),Collecticon sale closed = backstop. AMZN went from $198 (entry) → $258 by Apr 24 = ~30% return on stock alone. Options gains likely much higher.
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,52:54,54:20,Chris Camillo,High,"'I'm all in. I'm all in.'",AMZN,Amazon,Stock,Leveraged long,owns,5,5,3,multi-month,core high-conviction idea,AMZN earnings,Same AI super-cycle thesis,Option decay in roll-ups,"[53:02] I I still love it. I love it just as much as I loved it at $198. // [53:21] I'm all in. I'm all in. // [53:30] What I do, guys, is I continue to roll up my options. … I'm I'm taking the gains. I'm not losing them. I'm taking a part of the profits to reup in new Amazon options. // [54:09] Uh I would say 5% right now today.",Still 'all in' AMZN; option position now ~5% of portfolio after rolling profits up to new strikes.,explicit,Mar 12: would pour in at $220s. Apr 24: AMZN at $258 - target met and exceeded.,
2026-04-24,He Sold Everything... Here's What He's Buying,https://www.youtube.com/watch?v=AV9dVJAt7-U,youtube_transcript_he_sold_everything_heres_what_hes_buying_2026-04-24.md,22:57,23:30,Chris Camillo,High,"'The best buy that I had was ARM'.",ARM,Arm Holdings,Stock,"Long, Add on dip",owns,4,4,2,multi-month,quick position update,n/a,AI semis tailwind,n/a,"[23:14] The best buy that I had was ARM. Uh the thing was up 30% since I bought.",Bought ARM during March drawdown; up ~30% since.,explicit,,
